"","Code","MonthYear","VC","MC","VV","MV","N","Sum","Srat"
"341","AO",199505,26,0,6,11,820,43,0.0524390243902439
"342","AO",199506,23,9,0,2,514,34,0.066147859922179
"343","AO",199507,23,0,3,3,759,29,0.0382081686429512
"344","AO",199508,20,0,5,2,678,27,0.0398230088495575
"345","AO",199509,7,7,0,5,524,19,0.0362595419847328
"346","AO",199510,9,0,0,1,260,10,0.0384615384615385
"347","AO",199511,14,0,0,2,672,16,0.0238095238095238
"348","AO",199512,6,3,2,5,727,16,0.0220082530949106
"349","AO",199601,33,2,4,4,1178,43,0.0365025466893039
"350","AO",199602,11,2,1,8,633,22,0.0347551342812006
"351","AO",199603,5,1,2,0,342,8,0.0233918128654971
"352","AO",199604,3,2,0,1,241,6,0.024896265560166
"353","AO",199605,16,6,0,3,415,25,0.0602409638554217
"354","AO",199606,4,0,4,5,562,13,0.0231316725978648
"355","AO",199607,9,3,4,2,822,18,0.0218978102189781
"356","AO",199608,4,2,0,1,707,7,0.0099009900990099
"357","AO",199609,1,0,1,5,770,7,0.00909090909090909
"358","AO",199610,6,0,1,2,1226,9,0.00734094616639478
"359","AO",199611,6,3,0,2,769,11,0.0143042912873862
"360","AO",199612,3,2,0,10,795,15,0.0188679245283019
"361","AO",199701,13,2,3,7,1263,25,0.0197941409342835
"362","AO",199702,7,2,4,10,731,23,0.0314637482900137
"363","AO",199703,11,3,8,11,1133,33,0.029126213592233
"364","AO",199704,17,2,1,11,1203,31,0.0257689110556941
"365","AO",199705,58,3,21,17,1380,99,0.0717391304347826
"366","AO",199706,6,1,2,6,729,15,0.0205761316872428
"367","AO",199707,8,0,3,2,928,13,0.0140086206896552
"368","AO",199708,8,0,3,3,1125,14,0.0124444444444444
"369","AO",199709,4,0,1,0,986,5,0.0050709939148073
"370","AO",199710,29,8,6,10,2196,53,0.0241347905282332
"371","AO",199711,10,1,1,6,1072,18,0.0167910447761194
"372","AO",199712,2,1,1,2,1052,6,0.00570342205323194
"373","AO",199801,8,0,3,4,1030,15,0.0145631067961165
"374","AO",199802,2,0,5,9,1052,16,0.0152091254752852
"375","AO",199803,5,3,1,3,1578,12,0.00760456273764259
"376","AO",199804,10,0,3,1,1540,14,0.00909090909090909
"377","AO",199805,4,3,7,2,1386,16,0.0115440115440115
"378","AO",199806,4,0,1,6,1582,11,0.00695322376738306
"379","AO",199807,10,2,3,4,1915,19,0.00992167101827676
"380","AO",199808,65,13,32,68,3452,178,0.0515643105446118
"381","AO",199809,133,11,32,52,3783,228,0.0602696272799366
"382","AO",199810,45,2,6,34,2495,87,0.0348697394789579
"383","AO",199811,58,0,19,16,2283,93,0.0407358738501971
"384","AO",199812,53,6,13,107,3166,179,0.056538218572331
"385","AO",199901,72,14,24,79,3694,189,0.0511640498105035
"386","AO",199902,29,2,8,26,2142,65,0.0303454715219421
"387","AO",199903,48,3,17,58,2060,126,0.0611650485436893
"388","AO",199904,35,5,10,38,1918,88,0.045881126173097
"389","AO",199905,32,5,9,23,1901,69,0.0362966859547607
"390","AO",199906,12,1,6,26,1567,45,0.028717294192725
"391","AO",199907,71,13,22,73,2608,179,0.0686349693251534
"392","AO",199908,48,6,17,63,2408,134,0.0556478405315615
"393","AO",199909,16,4,9,33,1835,62,0.0337874659400545
"394","AO",199910,29,5,11,8,1557,53,0.0340398201669878
"395","AO",199911,38,16,8,9,2013,71,0.035270740188773
"396","AO",199912,25,6,17,30,2186,78,0.0356816102470265
"397","AO",200001,41,12,17,35,2710,105,0.0387453874538745
"398","AO",200002,28,10,11,34,1998,83,0.0415415415415415
"399","AO",200003,16,8,14,15,1828,53,0.0289934354485777
"400","AO",200004,19,10,11,18,1584,58,0.0366161616161616
"401","AO",200005,7,4,4,12,1850,27,0.0145945945945946
"402","AO",200006,32,9,8,29,2038,78,0.0382728164867517
"403","AO",200007,13,2,7,19,1670,41,0.0245508982035928
"404","AO",200008,19,2,6,38,1920,65,0.0338541666666667
"405","AO",200009,10,1,4,49,2283,64,0.0280332895313184
"406","AO",200010,37,4,4,25,2420,70,0.0289256198347107
"407","AO",200011,25,9,7,55,2293,96,0.0418665503706934
"408","AO",200012,14,8,15,34,1583,71,0.0448515476942514
"409","AO",200101,26,9,13,10,2975,58,0.0194957983193277
