"Code","MonthYear","VC","MC","VV","MV"
"AO",200712,0,0,1,0
"AO",200801,9,3,3,2
"AO",200802,2,0,2,0
"AO",200803,0,0,0,1
"AO",200804,6,0,0,0
"AO",200805,3,0,0,0
"AO",200806,3,0,0,0
"AO",200807,9,1,3,4
"AO",200808,2,0,0,2
"AO",200809,16,0,3,0
"AO",200810,11,3,4,3
"AO",200811,58,15,33,39
"AO",200812,3,1,3,2
"AO",200901,1,0,0,0
"AO",200902,3,4,0,6
"AO",200903,3,0,1,1
"AO",200904,0,0,0,11
"AO",200905,0,0,0,0
"AO",200906,1,1,3,2
"AO",200907,6,0,0,4
"AO",200908,13,0,4,8
"AO",200909,5,14,0,4
"AO",200910,2,0,5,1
"AO",200911,2,0,1,2
"AO",200912,0,0,0,0
"AO",201001,5,1,0,3
"AO",201002,0,0,0,0
"AO",201003,0,0,0,0
"AO",201004,0,0,0,0
"AO",201005,4,1,8,1
"AO",201006,0,0,0,0
"AO",201007,1,0,0,0
"AO",201008,6,0,1,0
"AO",201009,2,0,4,2
"AO",201010,1,0,5,0
"AO",201011,7,0,0,0
"AO",201012,10,2,2,0
"AO",201101,1,0,1,0
"AO",201102,3,0,0,2
"AO",201103,1,0,0,6
"AO",201104,1,1,1,0
"AO",201105,0,0,0,1
"AO",201106,3,2,4,4
"AO",201107,0,1,0,2
"AO",201108,4,0,0,1
"AO",201109,5,0,5,1
"AO",201110,0,0,0,0
"AO",201111,2,0,0,0
"AO",201112,5,4,0,0
"AO",201201,0,0,0,4
"AO",201202,14,0,0,0
"AO",201203,0,1,1,2
"AO",201204,3,1,0,3
"AO",201205,1,0,0,0
"AO",201206,5,0,0,2
"AO",201207,0,0,0,0
"AO",201208,2,1,0,7
"AO",201209,2,0,0,4
"AO",201210,0,0,1,0
"AO",201211,1,4,0,0
"AO",201212,12,1,0,0
"AO",201301,0,1,0,4
"AO",201302,1,0,0,0
"AO",201303,1,0,0,0
"AO",201304,2,2,0,0
"AO",201305,4,0,0,0
"AO",201306,3,1,3,0
"AO",201307,3,0,0,0
"AO",201308,3,0,0,7
"AO",201309,1,0,16,1
"AO",201310,5,0,2,18
"AO",201311,6,0,0,3
"AO",201312,1,0,0,0
"AO",201401,10,0,0,7
"AO",201402,2,0,0,1
"AO",201403,2,0,0,0
"AO",201404,3,1,0,2
"AO",201405,0,0,11,4
"AO",201406,5,2,0,3
"AO",201407,8,0,1,3
"AO",201408,3,1,1,4
"AO",201409,6,4,1,9
"AO",201410,3,2,0,2
"AO",201411,3,0,0,0
"AO",201412,0,0,0,0
"BY",199001,0,0,0,0
"BY",199002,0,0,0,0
"BY",199003,0,0,0,0
"BY",199004,0,0,0,0
"BY",199005,0,0,0,0
"BY",199006,0,0,0,0
"BY",199007,0,0,0,0
"BY",199008,0,0,0,0
"BY",199009,0,0,0,0
"BY",199010,0,0,0,0
"BY",199011,0,0,0,0
"BY",199012,0,0,0,0
"BY",199101,0,0,0,0
"BY",199102,0,0,0,0
"BY",199103,0,1,0,1
"BY",199104,0,0,0,0
"BY",199105,0,0,0,1
"BY",199106,0,0,0,0
"BY",199107,0,0,0,0
"BY",199108,0,0,0,1
"BY",199109,0,0,0,0
"BY",199110,0,0,0,0
"BY",199111,0,0,0,1
"BY",199112,0,0,0,1
"BY",199201,0,0,0,0
"BY",199202,0,0,0,0
"BY",199203,0,0,0,2
"BY",199204,0,0,0,1
"BY",199205,0,0,0,1
"BY",199206,0,0,0,0
"BY",199207,0,0,0,0
"BY",199208,0,0,0,0
"BY",199209,0,0,0,0
"BY",199210,1,0,0,0
"BY",199211,1,0,0,0
"BY",199212,0,0,0,0
"BY",199301,0,0,0,0
"BY",199302,0,0,0,0
"BY",199303,0,0,0,0
"BY",199304,0,0,0,0
"BY",199305,0,0,0,0
"BY",199306,0,0,0,0
"BY",199307,0,0,0,0
"BY",199308,0,0,0,0
"BY",199309,0,0,0,0
"BY",199310,2,0,1,3
"BY",199311,1,0,0,3
"BY",199312,0,0,1,0
"BY",199401,0,0,0,0
"BY",199402,0,0,0,0
"BY",199403,0,0,0,1
"BY",199404,8,1,1,8
"BY",199405,3,0,0,1
"BY",199406,0,0,0,1
"BY",199407,1,0,0,0
"BY",199408,0,0,0,0
"BY",199409,1,3,1,4
"BY",199410,0,0,0,0
"BY",199411,0,0,0,2
"BY",199412,0,0,0,0
"BY",199501,0,0,0,0
"BY",199502,0,0,0,0
"BY",199503,0,0,0,2
"BY",199504,1,0,0,1
"BY",199505,0,8,0,1
"BY",199506,0,1,1,4
"BY",199507,0,0,0,0
"BY",199508,0,0,1,0
"BY",199509,0,0,0,0
"BY",199510,0,0,0,0
"BY",199511,1,0,0,6
"BY",199512,1,0,3,2
"BY",199601,1,0,1,3
"BY",199602,0,1,0,1
"BY",199603,3,0,0,16
"BY",199604,8,0,2,10
"BY",199605,7,2,3,30
"BY",199606,1,2,6,8
"BY",199607,13,1,23,81
"BY",199608,12,10,8,37
"BY",199609,29,3,21,81
"BY",199610,52,7,15,50
"BY",199611,24,5,7,38
"BY",199612,14,9,5,24
"BY",199701,21,1,5,19
"BY",199702,20,1,6,15
"BY",199703,8,7,7,20
"BY",199704,13,0,6,18
"BY",199705,18,0,10,19
"BY",199706,3,1,7,18
"BY",199707,3,1,3,14
"BY",199708,4,1,6,12
"BY",199709,3,0,1,6
"BY",199710,1,0,3,18
"BY",199711,6,0,2,14
"BY",199712,6,2,3,8
"BY",199801,16,5,19,72
"BY",199802,7,2,3,7
"BY",199803,0,2,3,1
"BY",199804,2,1,10,3
"BY",199805,3,0,1,2
"BY",199806,11,0,0,9
"BY",199807,12,1,1,17
"BY",199808,3,7,0,18
"BY",199809,7,3,3,5
"BY",199810,13,3,2,11
"BY",199811,2,0,1,21
"BY",199812,9,0,3,49
"BY",199901,11,6,9,35
"BY",199902,2,2,1,1
"BY",199903,9,2,5,3
"BY",199904,3,1,0,12
"BY",199905,4,0,5,14
"BY",199906,3,2,5,15
"BY",199907,13,2,3,44
"BY",199908,19,6,6,47
"BY",199909,10,0,8,41
"BY",199910,23,4,6,64
"BY",199911,2,1,8,28
"BY",199912,7,1,6,9
"BY",200001,33,2,10,55
"BY",200002,21,7,10,39
"BY",200003,35,1,9,16
"BY",200004,32,2,17,48
"BY",200005,28,0,0,28
"BY",200006,21,4,10,37
"BY",200007,24,0,15,31
"BY",200008,63,6,23,79
"BY",200009,70,7,26,95
"BY",200010,17,5,7,26
"BY",200011,33,4,10,28
"BY",200012,16,1,7,46
"BY",200101,54,6,10,28
"BY",200102,48,1,13,61
"BY",200103,63,5,18,85
"BY",200104,58,3,21,76
"BY",200105,56,10,16,52
"BY",200106,34,9,7,49
"BY",200107,73,12,16,56
"BY",200108,31,2,21,40
"BY",200109,42,2,10,71
"BY",200110,53,0,13,58
"BY",200111,81,9,26,118
"BY",200112,25,0,6,52
"BY",200201,26,3,15,53
"BY",200202,15,4,3,19
"BY",200203,26,5,7,35
"BY",200204,42,2,9,34
"BY",200205,17,12,7,48
"BY",200206,29,1,4,40
"BY",200207,35,8,17,74
"BY",200208,116,2,17,71
"BY",200209,30,1,15,58
"BY",200210,51,12,18,42
"BY",200211,52,8,12,66
"BY",200212,52,15,21,31
"BY",200301,71,6,13,51
"BY",200302,41,5,10,42
"BY",200303,48,2,19,49
"BY",200304,28,10,11,82
"BY",200305,33,3,20,47
"BY",200306,44,8,8,56
"BY",200307,84,23,28,177
"BY",200308,28,6,8,48
"BY",200309,39,8,17,40
"BY",200310,59,8,26,36
"BY",200311,62,4,9,68
"BY",200312,33,7,14,40
"BY",200401,75,11,25,28
"BY",200402,14,3,1,11
"BY",200403,14,2,2,22
"BY",200404,23,5,14,40
"BY",200405,15,2,14,23
"BY",200406,8,3,4,10
"BY",200407,10,2,7,8
"BY",200408,39,2,21,59
"BY",200409,8,2,1,15
"BY",200410,3,0,2,3
"BY",200411,9,1,2,10
"BY",200412,10,1,0,4
"BY",200501,10,0,8,7
"BY",200502,7,4,4,1
"BY",200503,18,1,3,6
"BY",200504,33,1,3,10
"BY",200505,24,1,5,8
"BY",200506,12,0,6,16
"BY",200507,11,2,1,11
"BY",200508,24,3,3,14
"BY",200509,16,2,6,10
"BY",200510,5,3,2,8
"BY",200511,5,8,4,19
"BY",200512,8,0,4,11
"BY",200601,5,0,0,5
"BY",200602,3,0,0,9
"BY",200603,9,1,2,2
"BY",200604,11,0,2,7
"BY",200605,17,0,0,11
"BY",200606,63,17,11,21
"BY",200607,10,1,2,6
"BY",200608,6,9,3,6
"BY",200609,39,11,6,16
"BY",200610,8,1,0,3
"BY",200611,9,5,6,2
"BY",200612,4,0,2,0
"BY",200701,0,0,0,0
"BY",200702,6,2,1,1
"BY",200703,4,0,2,2
"BY",200704,7,0,0,0
"BY",200705,3,0,2,1
"BY",200706,9,1,5,4
"BY",200707,13,5,1,3
"BY",200708,7,0,1,4
"BY",200709,14,1,20,28
"BY",200710,12,4,2,16
"BY",200711,8,4,4,2
"BY",200712,6,0,2,4
"BY",200801,5,2,4,17
"BY",200802,3,0,0,10
"BY",200803,9,3,2,19
"BY",200804,22,10,34,59
"BY",200805,84,18,15,22
"BY",200806,18,0,4,5
"BY",200807,8,0,1,1
"BY",200808,3,0,1,3
"BY",200809,0,0,0,0
"BY",200810,2,1,0,0
"BY",200811,8,2,1,1
"BY",200812,9,2,3,3
"BY",200901,3,1,2,1
"BY",200902,6,1,6,46
"BY",200903,2,1,3,10
"BY",200904,15,13,0,7
"BY",200905,5,0,1,16
"BY",200906,1,4,1,1
"BY",200907,0,0,1,2
"BY",200908,7,1,1,4
"BY",200909,20,1,5,27
"BY",200910,6,4,7,10
"BY",200911,2,0,0,5
"BY",200912,2,0,8,4
"BY",201001,3,0,1,2
"BY",201002,0,0,0,6
"BY",201003,0,0,0,0
"BY",201004,0,0,0,0
"BY",201005,6,0,2,2
"BY",201006,1,0,1,8
"BY",201007,0,5,0,1
"BY",201008,2,1,1,8
"BY",201009,2,3,8,7
"BY",201010,5,4,1,3
"BY",201011,2,4,3,2
"BY",201012,6,1,1,1
"BY",201101,0,0,0,0
"BY",201102,6,0,0,4
"BY",201103,2,0,9,3
"BY",201104,2,3,0,5
"BY",201105,0,2,0,0
"BY",201106,2,1,1,0
"BY",201107,0,0,0,0
"BY",201108,4,2,0,1
"BY",201109,2,0,6,9
"BY",201110,4,0,0,8
"BY",201111,0,0,0,4
"BY",201112,3,0,0,1
"BY",201201,0,2,0,1
"BY",201202,1,1,0,1
"BY",201203,0,0,0,7
"BY",201204,0,0,0,0
"BY",201205,0,0,0,5
"BY",201206,9,0,1,0
"BY",201207,0,0,1,6
"BY",201208,0,0,0,0
"BY",201209,0,0,1,3
"BY",201210,6,1,0,0
"BY",201211,5,0,0,0
"BY",201212,1,1,1,1
"BY",201301,2,0,2,3
"BY",201302,0,0,1,1
"BY",201303,2,0,0,0
"BY",201304,0,0,0,0
"BY",201305,0,0,0,0
"BY",201306,0,0,0,0
"BY",201307,0,0,1,0
"BY",201308,4,1,0,2
"BY",201309,0,0,3,2
"BY",201310,4,1,1,1
"BY",201311,0,0,3,1
"BY",201312,1,2,3,1
"BY",201401,2,0,1,0
"BY",201402,0,0,4,3
"BY",201403,7,1,5,13
"BY",201404,3,0,0,4
"BY",201405,0,0,0,0
"BY",201406,4,0,0,8
"BY",201407,1,0,1,4
"BY",201408,0,0,0,0
"BY",201409,5,3,0,1
"BY",201410,9,4,1,11
"BY",201411,0,0,2,6
"BY",201412,0,0,0,0
"CD",199001,0,0,0,0
"CD",199002,0,0,0,0
"CD",199003,0,0,0,4
"CD",199004,0,3,0,3
"CD",199005,0,1,0,0
"CD",199006,0,0,0,0
"CD",199007,0,0,0,1
"CD",199008,0,0,0,0
"CD",199009,0,0,0,0
"CD",199010,0,0,0,0
"CD",199011,1,0,0,5
"CD",199012,7,0,2,6
"CD",199101,0,0,0,0
"CD",199102,1,0,0,0
"CD",199103,0,0,0,0
"CD",199104,0,0,0,0
"CD",199105,0,0,0,0
"CD",199106,0,0,0,1
"CD",199107,0,0,0,0
"CD",199108,0,0,0,0
"CD",199109,0,0,0,1
"CD",199110,0,1,0,1
"CD",199111,0,0,0,0
"CD",199112,0,0,0,1
"CD",199201,10,1,7,12
"CD",199202,1,0,0,0
"CD",199203,0,0,0,0
