"Code","MonthYear","1","2","3","4"
"AO",201006,0,0,0,0
"AO",201007,0,0,0,0
"AO",201008,5,0,1,2
"AO",201009,4,0,0,0
"AO",201010,5,0,2,3
"AO",201011,5,4,0,1
"AO",201012,13,0,4,2
"AO",201101,1,0,0,0
"AO",201102,5,0,2,2
"AO",201103,2,2,1,2
"AO",201104,2,2,0,0
"AO",201105,0,0,0,0
"AO",201106,2,1,0,0
"AO",201107,1,1,0,2
"AO",201108,0,0,0,0
"AO",201109,0,0,0,0
"AO",201110,0,0,0,0
"AO",201111,0,0,0,0
"AO",201112,0,0,0,0
"AO",201201,0,0,0,0
"AO",201202,0,0,0,0
"AO",201203,0,0,0,0
"AO",201204,0,0,0,0
"AO",201205,0,0,0,0
"AO",201206,0,0,0,0
"AO",201207,0,0,0,0
"AO",201208,0,0,0,0
"AO",201209,0,0,0,0
"AO",201210,0,0,0,0
"AO",201211,1,4,1,0
"AO",201212,5,0,0,1
"BY",199001,0,0,0,0
"BY",199002,0,0,0,0
"BY",199003,0,0,0,0
"BY",199004,0,0,0,0
"BY",199005,0,0,0,0
"BY",199006,0,0,0,0
"BY",199007,0,0,0,0
"BY",199008,0,0,0,0
"BY",199009,0,0,0,0
"BY",199010,0,0,0,0
"BY",199011,0,0,0,0
"BY",199012,0,0,0,0
"BY",199101,0,0,0,0
"BY",199102,0,0,0,0
"BY",199103,0,0,0,1
"BY",199104,0,0,1,0
"BY",199105,0,0,0,0
"BY",199106,0,0,0,0
"BY",199107,0,0,0,0
"BY",199108,1,0,0,1
"BY",199109,0,0,0,0
"BY",199110,0,0,0,0
"BY",199111,0,0,0,2
"BY",199112,0,0,3,1
"BY",199201,0,0,0,3
"BY",199202,0,0,0,0
"BY",199203,0,0,0,0
"BY",199204,0,0,0,1
"BY",199205,0,0,0,0
"BY",199206,0,0,0,0
"BY",199207,0,0,0,0
"BY",199208,0,0,0,0
"BY",199209,0,0,0,0
"BY",199210,0,0,0,0
"BY",199211,0,0,0,0
"BY",199212,0,0,0,0
"BY",199301,0,0,0,0
"BY",199302,0,0,0,0
"BY",199303,0,0,0,0
"BY",199304,0,0,0,0
"BY",199305,0,0,0,0
"BY",199306,0,0,0,0
"BY",199307,0,0,0,1
"BY",199308,0,0,0,0
"BY",199309,0,0,0,0
"BY",199310,1,0,3,0
"BY",199311,3,1,0,0
"BY",199312,0,0,1,0
"BY",199401,0,0,0,0
"BY",199402,0,0,0,1
"BY",199403,0,0,0,0
"BY",199404,6,2,1,6
"BY",199405,1,0,0,1
"BY",199406,0,0,0,0
"BY",199407,2,0,0,0
"BY",199408,0,0,0,0
"BY",199409,0,0,0,0
"BY",199410,0,0,0,0
"BY",199411,0,0,0,0
"BY",199412,0,0,0,0
"BY",199501,0,0,0,0
"BY",199502,0,0,1,0
"BY",199503,1,1,2,2
"BY",199504,0,0,0,0
"BY",199505,0,0,0,0
"BY",199506,0,0,0,2
"BY",199507,0,0,0,0
"BY",199508,0,1,3,1
"BY",199509,1,0,0,0
"BY",199510,0,0,0,3
"BY",199511,2,0,2,7
"BY",199512,0,0,2,2
"BY",199601,5,0,2,2
"BY",199602,0,1,0,0
"BY",199603,2,0,1,14
"BY",199604,7,4,6,4
"BY",199605,8,4,11,18
"BY",199606,4,0,17,14
"BY",199607,19,3,33,40
"BY",199608,17,4,18,25
"BY",199609,28,2,34,68
"BY",199610,58,10,28,43
"BY",199611,29,18,9,23
"BY",199612,20,2,7,15
"BY",199701,19,3,17,23
"BY",199702,13,6,6,10
"BY",199703,13,7,20,24
"BY",199704,12,0,4,27
"BY",199705,19,3,18,35
"BY",199706,4,0,3,10
"BY",199707,4,0,8,7
"BY",199708,5,1,13,10
"BY",199709,7,2,5,8
"BY",199710,4,3,8,14
"BY",199711,10,0,2,19
"BY",199712,4,0,11,8
"BY",199801,33,4,41,72
"BY",199802,13,6,5,3
"BY",199803,1,1,0,0
"BY",199804,3,2,1,6
"BY",199805,1,2,0,2
"BY",199806,4,0,0,11
"BY",199807,4,1,2,12
"BY",199808,6,3,3,22
"BY",199809,7,3,1,7
"BY",199810,14,4,5,5
"BY",199811,7,1,5,6
"BY",199812,14,8,8,14
"BY",199901,10,12,10,51
"BY",199902,1,0,2,0
"BY",199903,6,2,3,1
"BY",199904,10,1,12,10
"BY",199905,22,13,2,6
"BY",199906,17,18,11,13
"BY",199907,7,1,2,11
"BY",199908,22,5,19,31
"BY",199909,8,0,9,26
"BY",199910,15,10,11,54
"BY",199911,5,3,9,14
"BY",199912,6,19,3,23
"BY",200001,34,4,7,32
"BY",200002,35,6,6,41
"BY",200003,31,2,8,12
"BY",200004,21,1,10,48
"BY",200005,25,0,5,25
"BY",200006,23,1,2,20
"BY",200007,30,0,15,27
"BY",200008,40,0,9,39
"BY",200009,48,10,26,96
"BY",200010,22,1,11,33
"BY",200011,26,5,10,35
"BY",200012,14,1,10,26
"BY",200101,57,15,14,19
"BY",200102,33,1,8,63
"BY",200103,61,4,29,70
"BY",200104,60,4,14,47
"BY",200105,54,6,8,43
"BY",200106,22,4,12,27
"BY",200107,68,0,4,51
"BY",200108,28,9,11,43
"BY",200109,38,6,14,57
"BY",200110,46,3,8,45
"BY",200111,96,4,14,82
"BY",200112,17,3,11,61
"BY",200201,41,14,13,41
"BY",200202,27,0,7,17
"BY",200203,19,9,3,34
"BY",200204,32,2,1,38
"BY",200205,25,4,6,44
"BY",200206,34,5,16,22
"BY",200207,53,8,22,57
"BY",200208,104,15,23,49
"BY",200209,32,1,26,37
"BY",200210,56,8,14,32
"BY",200211,48,3,13,72
"BY",200212,48,11,22,31
"BY",200301,70,8,16,34
"BY",200302,25,7,10,23
"BY",200303,43,2,12,34
"BY",200304,36,13,20,56
"BY",200305,23,3,11,60
"BY",200306,51,5,25,48
"BY",200307,76,26,48,126
"BY",200308,28,4,21,22
"BY",200309,50,4,20,34
"BY",200310,63,1,32,22
"BY",200311,40,7,14,46
"BY",200312,40,5,43,45
"BY",200401,73,11,23,35
"BY",200402,12,3,6,19
"BY",200403,13,0,3,20
"BY",200404,21,2,16,27
"BY",200405,16,0,10,29
"BY",200406,6,0,4,12
"BY",200407,6,0,5,6
"BY",200408,38,3,5,38
"BY",200409,8,0,1,11
"BY",200410,3,3,1,8
"BY",200411,12,1,0,13
"BY",200412,9,1,1,6
"BY",200501,11,0,2,9
"BY",200502,5,3,5,2
"BY",200503,17,2,8,9
"BY",200504,32,2,3,5
"BY",200505,19,3,8,5
"BY",200506,12,5,5,14
"BY",200507,9,2,8,9
"BY",200508,19,1,6,15
"BY",200509,16,0,2,14
"BY",200510,12,0,7,7
"BY",200511,10,4,9,10
"BY",200512,7,2,3,9
"BY",200601,2,1,2,14
"BY",200602,4,2,0,8
"BY",200603,14,0,4,6
"BY",200604,16,0,5,5
"BY",200605,20,0,0,14
"BY",200606,59,12,12,17
"BY",200607,19,4,8,12
"BY",200608,8,6,7,17
"BY",200609,44,19,9,14
"BY",200610,13,0,2,2
"BY",200611,13,2,2,4
"BY",200612,8,1,2,1
"BY",200701,1,0,1,0
"BY",200702,4,5,1,1
"BY",200703,4,0,3,0
"BY",200704,13,1,1,5
"BY",200705,8,0,1,5
"BY",200706,36,2,2,6
"BY",200707,15,0,3,1
"BY",200708,11,0,0,0
"BY",200709,16,1,24,26
"BY",200710,16,2,4,17
"BY",200711,8,1,10,3
"BY",200712,5,2,1,4
"BY",200801,2,2,7,10
"BY",200802,2,0,6,4
"BY",200803,5,3,8,13
"BY",200804,24,6,13,65
"BY",200805,80,14,15,53
"BY",200806,13,2,2,9
"BY",200807,8,0,13,0
"BY",200808,4,0,1,2
"BY",200809,1,0,1,0
"BY",200810,2,0,2,5
"BY",200811,9,2,3,0
"BY",200812,9,2,0,3
"BY",200901,6,5,2,3
"BY",200902,3,0,4,2
"BY",200903,2,2,0,6
"BY",200904,21,7,3,5
"BY",200905,3,2,1,0
"BY",200906,2,2,2,2
"BY",200907,0,4,0,0
"BY",200908,7,2,0,2
"BY",200909,4,2,0,22
"BY",200910,3,11,13,5
"BY",200911,5,0,1,1
"BY",200912,2,0,0,2
"BY",201001,3,0,4,2
"BY",201002,0,0,0,2
"BY",201003,1,0,0,1
"BY",201004,1,0,0,1
"BY",201005,4,0,0,0
"BY",201006,4,0,0,3
"BY",201007,1,0,4,2
"BY",201008,3,0,2,0
"BY",201009,14,0,14,10
"BY",201010,6,2,5,6
"BY",201011,4,5,1,0
"BY",201012,5,1,0,0
"BY",201101,0,0,0,3
"BY",201102,0,0,3,0
"BY",201103,0,4,0,0
"BY",201104,1,0,0,6
"BY",201105,0,0,0,1
"BY",201106,1,1,2,5
"BY",201107,4,0,0,1
"BY",201108,0,0,0,0
"BY",201109,0,0,0,0
"BY",201110,0,0,0,0
"BY",201111,0,0,0,0
"BY",201112,0,0,0,0
"BY",201201,0,0,0,0
"BY",201202,0,0,0,0
"BY",201203,0,0,0,0
"BY",201204,0,0,0,0
"BY",201205,0,0,0,0
"BY",201206,0,0,0,0
"BY",201207,0,0,0,0
"BY",201208,0,0,0,0
"BY",201209,0,0,0,0
"BY",201210,0,0,0,0
"BY",201211,1,0,0,1
"BY",201212,1,1,0,0
"CD",199001,0,0,0,0
"CD",199002,0,0,0,0
"CD",199003,2,2,0,2
"CD",199004,0,1,0,4
"CD",199005,0,0,0,0
"CD",199006,0,0,0,0
"CD",199007,0,0,0,1
"CD",199008,0,0,0,1
"CD",199009,0,0,0,0
"CD",199010,0,0,0,0
"CD",199011,1,3,2,3
"CD",199012,10,1,1,5
"CD",199101,0,0,0,0
"CD",199102,0,0,0,0
"CD",199103,0,0,0,0
"CD",199104,0,0,0,0
"CD",199105,0,0,0,0
"CD",199106,0,0,0,0
"CD",199107,0,0,0,0
"CD",199108,0,0,0,0
"CD",199109,0,0,0,0
"CD",199110,1,0,0,3
"CD",199111,0,0,0,0
"CD",199112,0,0,0,0
"CD",199201,11,4,3,14
"CD",199202,1,0,0,0
"CD",199203,0,0,0,0
"CD",199204,0,0,0,2
"CD",199205,0,0,0,0
"CD",199206,1,1,0,1
"CD",199207,0,1,0,0
