"","Code","MonthYear","1","2","3","4"
"556","AO",201104,1,1,1,0
"557","AO",201105,NA,NA,NA,NA
"558","AO",201106,6,2,0,8
"559","AO",201107,0,1,0,0
"560","AO",201108,1,0,0,1
"561","AO",201109,3,0,0,1
"562","AO",201110,NA,NA,NA,NA
"563","AO",201111,2,0,0,0
"564","AO",201112,5,4,0,0
"565","AO",201201,0,0,0,4
"566","AO",201202,1,0,0,0
"567","AO",201203,0,1,1,2
"568","AO",201204,3,1,0,3
"569","AO",201205,NA,NA,NA,NA
"570","AO",201206,4,0,0,2
"571","AO",201207,NA,NA,NA,NA
"572","AO",201208,0,0,0,4
"573","AO",201209,0,0,0,4
"574","AO",201210,0,0,1,0
"575","AO",201211,1,4,0,0
"576","AO",201212,8,1,0,0
"577","AO",201301,0,1,0,4
"578","AO",201302,1,0,0,0
"579","AO",201303,1,0,0,0
"580","AO",201304,2,0,0,0
"581","AO",201305,2,0,0,0
"582","AO",201306,2,0,2,0
"583","AO",201307,2,0,0,0
"584","AO",201308,1,0,0,6
"585","AO",201309,1,0,0,1
"586","AO",201310,0,0,0,5
"587","AO",201311,1,0,0,2
"588","AO",201312,1,0,0,0
"589","AO",201401,2,0,0,7
"590","AO",201402,2,0,0,1
"591","AO",201403,NA,NA,NA,NA
"592","AO",201404,3,1,0,2
"593","AO",201405,0,0,22,6
"594","AO",201406,5,2,0,3
"595","AO",201407,8,0,1,3
"596","AO",201408,3,1,1,4
"597","AO",201409,6,4,1,9
"598","AO",201410,3,2,0,2
"599","AO",201411,3,0,0,0
"600","AO",201412,NA,NA,NA,NA
"601","BY",199001,NA,NA,NA,NA
"602","BY",199002,NA,NA,NA,NA
"603","BY",199003,NA,NA,NA,NA
"604","BY",199004,NA,NA,NA,NA
"605","BY",199005,NA,NA,NA,NA
"606","BY",199006,NA,NA,NA,NA
"607","BY",199007,NA,NA,NA,NA
"608","BY",199008,NA,NA,NA,NA
"609","BY",199009,NA,NA,NA,NA
"610","BY",199010,NA,NA,NA,NA
"611","BY",199011,NA,NA,NA,NA
"612","BY",199012,NA,NA,NA,NA
"613","BY",199101,NA,NA,NA,NA
"614","BY",199102,NA,NA,NA,NA
"615","BY",199103,0,1,0,0
"616","BY",199104,NA,NA,NA,NA
"617","BY",199105,0,0,0,1
"618","BY",199106,NA,NA,NA,NA
"619","BY",199107,NA,NA,NA,NA
"620","BY",199108,0,0,0,1
"621","BY",199109,NA,NA,NA,NA
"622","BY",199110,NA,NA,NA,NA
"623","BY",199111,0,0,0,1
"624","BY",199112,0,0,0,1
"625","BY",199201,NA,NA,NA,NA
"626","BY",199202,NA,NA,NA,NA
"627","BY",199203,0,0,0,2
"628","BY",199204,0,0,0,1
"629","BY",199205,0,0,0,1
"630","BY",199206,NA,NA,NA,NA
"631","BY",199207,NA,NA,NA,NA
"632","BY",199208,NA,NA,NA,NA
"633","BY",199209,NA,NA,NA,NA
"634","BY",199210,NA,NA,NA,NA
"635","BY",199211,NA,NA,NA,NA
"636","BY",199212,NA,NA,NA,NA
"637","BY",199301,NA,NA,NA,NA
"638","BY",199302,NA,NA,NA,NA
"639","BY",199303,NA,NA,NA,NA
"640","BY",199304,NA,NA,NA,NA
"641","BY",199305,NA,NA,NA,NA
"642","BY",199306,NA,NA,NA,NA
"643","BY",199307,NA,NA,NA,NA
"644","BY",199308,NA,NA,NA,NA
"645","BY",199309,NA,NA,NA,NA
"646","BY",199310,2,0,1,3
"647","BY",199311,1,0,0,3
"648","BY",199312,0,0,1,0
"649","BY",199401,NA,NA,NA,NA
"650","BY",199402,NA,NA,NA,NA
"651","BY",199403,0,0,0,1
"652","BY",199404,8,1,1,8
"653","BY",199405,3,0,0,1
"654","BY",199406,0,0,0,1
"655","BY",199407,1,0,0,0
"656","BY",199408,NA,NA,NA,NA
"657","BY",199409,1,3,1,4
"658","BY",199410,NA,NA,NA,NA
"659","BY",199411,0,0,0,2
"660","BY",199412,NA,NA,NA,NA
"661","BY",199501,NA,NA,NA,NA
"662","BY",199502,NA,NA,NA,NA
"663","BY",199503,0,0,0,2
"664","BY",199504,1,0,0,1
"665","BY",199505,0,8,0,1
"666","BY",199506,0,1,1,3
"667","BY",199507,NA,NA,NA,NA
"668","BY",199508,0,0,1,0
